cod_membro,nome_completo,cpf,data_nasc,whatsapp_telefone,bairro_distrito,endereco,nome_pai,nome_mae,nacionalidade,naturalidade,estado_civil,data_batismo,congregacao,cargo,data_consag_auxiliar,data_consag_diacono,data_consag_presbitero,situacao_membro,Sexo
,,,,,,,,,Brasileiro(a),,Casado(a),,SEDE,Diácono,,,,,Masculino
,,,,,,,,,Estrangeiro(a),,Solteiro(a),,CONJUNTO ESPERANÇA,Auxiliar,,,,,Feminino
,,,,,,,,,,,Divorciado(a),,RODOVIÁRIA,Presbítero,,,,,
,,,,,,,,,,,Viúvo(a),,PEDREIRAS,,,,,,
,,,,,,,,,,,,,DEPOSITO,,,,,,
,,,,,,,,,,,,,ALGODÕES,,,,,,
,,,,,,,,,,,,,CUPIM,,,,,,
,,,,,,,,,,,,,POMPEIA,,,,,,
,,,,,,,,,,,,,SABONETE,,,,,,
,,,,,,,,,,,,,BOA ESPERANÇA,,,,,,
,,,,,,,,,,,,,MEARIM,,,,,,
,,,,,,,,,,,,,FOGAREIRO,,,,,,
,,,,,,,,,,,,,QUININ,,,,,,
,,,,,,,,,,,,,PONTAL ALEGRE,,,,,,
,,,,,,,,,,,,,CANAFÍSTULA,,,,,,
,,,,,,,,,,,,,FAZENDA NORMAL,,,,,,
,,,,,,,,,,,,,CAPITÃO-MOR,,,,,,
,,,,,,,,,,,,,TANQUINHOS,,,,,,
,,,,,,,,,,,,,SÃO JOÃO VELHO,,,,,,
,,,,,,,,,,,,,URUQUÊ,,,,,,
,,,,,,,,,,,,,CIPO,,,,,,
